run_accession	library_name	library_layout	first_public	last_updated	fastq_aspera	submitted_galaxy	sample_alias
ERR1713332	AUS.18	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713332/AUS.18.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713332/AUS.18.HR.R2.fastq.gz	AUS.18
ERR1713347	CZE.23	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713347/ERR1713347_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713347/ERR1713347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713347/CZE.23.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713347/CZE.23.HR.R2.fastq.gz	CZE.23
ERR1713350	DNK.71_RD	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713350/DNK.71_RD.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713350/DNK.71_RD.HR.R2.fastq.gz	DNK.71_RD
ERR1713354	ESP.75	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713354/ESP.75.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713354/ESP.75.HR.R2.fastq.gz	ESP.75
ERR1713355	ETH.24	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713355/ERR1713355_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713355/ERR1713355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713355/ETH.24.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713355/ETH.24.HR.R2.fastq.gz	ETH.24
ERR1713361	HUN.61	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713361/HUN.61.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713361/HUN.61.HR.R2.fastq.gz	HUN.61
ERR1713362	IND.11	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713362/IND.11.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713362/IND.11.HR.R2.fastq.gz	IND.11
ERR1713365	ISL.28	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713365/ISL.28.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713365/ISL.28.HR.R2.fastq.gz	ISL.28
ERR1713369	KEN.72	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713369/ERR1713369_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713369/ERR1713369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713369/KEN.72.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713369/KEN.72.HR.R2.fastq.gz	KEN.72
ERR1713371	LKA.40	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713371/ERR1713371_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713371/ERR1713371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713371/LKA.40.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713371/LKA.40.HR.R2.fastq.gz	LKA.40
ERR1713379	NLD.43	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713379/ERR1713379_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/009/ERR1713379/ERR1713379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713379/NLD.43.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713379/NLD.43.HR.R2.fastq.gz	NLD.43
ERR1713381	NPL.33	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713381/ERR1713381_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713381/ERR1713381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713381/NPL.33.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713381/NPL.33.HR.R2.fastq.gz	NPL.33
ERR1713383	POL.36	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713383/OL.36.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713383/OL.36.HR.R2.fastq.gz	POL.36
ERR1713388	SRB.37	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713388/SRB.37.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713388/SRB.37.HR.R2.fastq.gz	SRB.37
ERR1713393	TCD.1	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713393/ERR1713393_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713393/ERR1713393_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713393/TCD.1.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713393/TCD.1.HR.R2.fastq.gz	TCD.1
ERR1713394	TGO.44	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713394/ERR1713394_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713394/ERR1713394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713394/TGO.44.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713394/TGO.44.HR.R2.fastq.gz	TGO.44
ERR1713398	USA.74a	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713398/ERR1713398_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713398/ERR1713398_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713398/USA.74a.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713398/USA.74a.HR.R2.fastq.gz	USA.74a
ERR1713401	USA.74d	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713401/ERR1713401_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713401/ERR1713401_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713401/USA.74d.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713401/USA.74d.HR.R2.fastq.gz	USA.74d
ERR1713404	USA.74g	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713404/ERR1713404_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/004/ERR1713404/ERR1713404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713404/USA.74g.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713404/USA.74g.HR.R2.fastq.gz	USA.74g
ERR1713405	USA.74h	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713405/ERR1713405_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713405/ERR1713405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713405/USA.74h.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713405/USA.74h.HR.R2.fastq.gz	USA.74h
ERR1713406	USA.74i	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713406/ERR1713406_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713406/ERR1713406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713406/USA.74i.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713406/USA.74i.HR.R2.fastq.gz	USA.74i
ERR1713333	AUS.18a	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713333/ERR1713333_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713333/ERR1713333_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713333/AUS.18a.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713333/AUS.18a.HR.R2.fastq.gz	AUS.18a
ERR1713408	XK.60	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713408/ERR1713408_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713408/ERR1713408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713408/XK.60.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713408/XK.60.HR.R2.fastq.gz	XK.60
ERR1713335	BGR.66	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713335/ERR1713335_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/005/ERR1713335/ERR1713335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713335/BGR.66.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713335/BGR.66.HR.R2.fastq.gz	BGR.66
ERR1713336	BRA.53	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713336/ERR1713336_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713336/ERR1713336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713336/BRA.53.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713336/BRA.53.HR.R2.fastq.gz	BRA.53
ERR1713338	BWA.19	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713338/ERR1713338_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/008/ERR1713338/ERR1713338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713338/BWA.19.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713338/BWA.19.HR.R2.fastq.gz	BWA.19
ERR1713341	CAN.22b	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713341/ERR1713341_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713341/ERR1713341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713341/CAN.22b.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713341/CAN.22b.HR.R2.fastq.gz	CAN.22b
ERR1713342	CAN.22c	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713342/ERR1713342_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713342/ERR1713342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713342/CAN.22c.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713342/CAN.22c.HR.R2.fastq.gz	CAN.22c
ERR1713343	CHE.67	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713343/ERR1713343_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713343/ERR1713343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713343/CHE.67.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713343/CHE.67.HR.R2.fastq.gz	CHE.67
ERR1713351	DNK.71_RL	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713351/ERR1713351_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/001/ERR1713351/ERR1713351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713351/DNK.71_RL.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713351/DNK.71_RL.HR.R2.fastq.gz	DNK.71_RL
ERR1713352	ECU.14	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713352/ERR1713352_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/002/ERR1713352/ERR1713352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713352/ECU.14.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713352/ECU.14.HR.R2.fastq.gz	ECU.14
ERR1713353	ECU.14a	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713353/ERR1713353_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713353/ERR1713353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713353/ECU.14a.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713353/ECU.14a.HR.R2.fastq.gz	ECU.14a
ERR1713356	FIN.25	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713356/ERR1713356_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713356/ERR1713356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713356/FIN.25.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713356/FIN.25.HR.R2.fastq.gz	FIN.25
ERR1713357	GEO.59	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713357/ERR1713357_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/007/ERR1713357/ERR1713357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713357/GEO.59.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713357/GEO.59.HR.R2.fastq.gz	GEO.59
ERR1713360	HRV.68	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713360/ERR1713360_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713360/ERR1713360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713360/HRV.68.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713360/HRV.68.HR.R2.fastq.gz	HRV.68
ERR1713363	IRL.69	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713363/ERR1713363_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713363/ERR1713363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713363/IRL.69.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713363/IRL.69.HR.R2.fastq.gz	IRL.69
ERR1713366	ISR.29	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713366/ERR1713366_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/006/ERR1713366/ERR1713366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713366/ISR.29.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713366/ISR.29.HR.R2.fastq.gz	ISR.29
ERR1713370	KHM.21	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713370/ERR1713370_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/000/ERR1713370/ERR1713370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713370/KHM.21.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713370/KHM.21.HR.R2.fastq.gz	KHM.21
ERR1713373	LVA.31	PAIRED	2019-01-31	2018-11-16	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713373/ERR1713373_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR171/003/ERR1713373/ERR1713373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713373/LVA.31.HR.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR171/ERR1713373/LVA.31.HR.R2.fastq.gz	LVA.31
